math_score,eng_score,ukr_score,has_benefits,admitted
197,129,139,False,0
166,182,187,False,1
162,121,145,False,0
188,141,165,False,1
122,181,136,False,0
164,120,113,False,0
160,147,119,False,0
166,198,128,False,1
178,119,198,False,1
181,112,190,False,1
146,148,169,False,0
142,104,113,False,0
109,162,118,False,0
191,175,107,False,1
122,138,133,False,0
199,103,152,False,0
120,186,122,False,0
121,176,186,False,0
185,120,165,True,1
146,106,158,False,0
192,114,176,False,1
132,104,191,False,0
141,158,176,False,0
158,141,176,False,0
179,123,179,False,1
155,200,172,False,1
155,117,143,False,0
110,140,110,False,0
134,190,160,False,0
133,184,101,False,0
153,131,133,False,0
137,113,147,False,0
121,102,115,True,0
115,149,171,False,0
118,140,144,False,0
192,108,101,False,0
197,113,119,False,0
149,127,181,False,0
158,124,122,False,0
196,111,194,True,1
194,173,189,False,1
121,148,171,False,0
125,158,175,False,0
185,116,178,False,1
177,162,116,False,0
110,189,109,False,0
133,168,181,True,0
137,101,101,True,0
142,143,124,False,0
134,135,116,False,0
106,124,119,False,0
175,104,183,True,1
172,167,118,False,0
158,145,136,False,0
170,117,132,False,0
130,115,175,False,0
194,125,200,False,1
186,138,196,True,1
108,148,135,True,0
122,117,137,False,0
155,133,186,False,0
114,102,126,False,0
170,189,195,False,1
164,129,134,False,0
179,153,132,False,0
114,165,179,False,0
168,103,189,False,0
172,100,160,False,0
110,167,111,False,0
164,150,103,False,0
148,110,160,False,0
135,180,149,False,0
120,199,119,False,0
196,183,155,False,1
111,193,187,False,0
110,159,167,True,0
163,189,167,False,1
117,153,134,False,0
175,144,162,False,1
139,139,129,False,0
138,178,136,False,0
197,196,168,False,1
114,130,184,False,0
180,194,154,False,1
139,150,107,False,0
168,105,142,False,0
155,177,170,False,1
195,186,115,False,1
124,104,102,False,0
115,152,108,False,0
104,163,157,False,0
193,140,161,False,1
161,195,185,False,1
176,192,124,False,1
116,170,158,False,0
170,165,128,False,0
157,149,125,False,0
144,114,196,False,0
193,105,151,False,0
164,103,172,False,0
186,176,126,False,1
123,122,163,False,0
187,128,177,True,1
154,179,124,False,0
157,198,144,False,1
148,146,179,False,0
167,141,163,False,0
194,133,188,False,1
192,180,185,False,1
112,122,102,False,0
153,188,192,False,1
142,146,104,False,0
179,109,200,False,1
120,174,164,False,0
175,127,137,False,0
175,188,189,False,1
164,150,192,False,1
150,151,104,False,0
197,116,177,True,1
195,179,111,False,1
147,112,102,True,0
103,175,148,False,0
165,199,140,False,1
136,171,113,False,0
166,133,183,False,1
168,138,121,False,0
131,135,137,False,0
143,138,107,True,0
133,136,190,False,0
100,145,126,False,0
177,147,170,False,1
193,144,189,False,1
187,102,159,False,0
139,127,110,False,0
117,194,128,False,0
169,165,129,False,0
129,111,198,False,0
126,111,162,False,0
192,149,194,False,1
183,134,149,False,0
168,125,146,False,0
119,161,185,False,0
187,132,123,False,0
181,119,102,False,0
173,148,200,False,1
126,161,112,True,0
172,163,125,False,0
129,115,114,False,0
107,137,139,False,0
110,164,161,False,0
200,174,172,False,1
183,196,105,False,1
126,135,141,False,0
150,123,117,False,0
111,140,184,False,0
112,117,161,False,0
148,176,123,False,0
179,167,162,False,1
175,106,101,False,0
113,133,183,False,0
112,153,152,False,0
195,172,138,False,1
164,141,142,False,0
124,132,147,False,0
141,113,129,False,0
149,101,151,False,0
148,190,109,True,1
101,182,159,False,0
102,123,123,False,0
168,185,116,False,0
198,100,145,False,0
138,134,145,False,0
166,198,161,False,1
122,191,184,False,0
115,152,148,False,0
139,181,108,False,0
155,139,193,False,1
145,124,185,False,0
181,199,117,False,1
125,154,102,False,0
138,146,190,False,0
109,184,148,False,0
189,192,131,False,1
152,161,109,False,0
151,167,173,False,1
107,163,177,False,0
163,173,153,False,1
157,181,100,False,0
103,166,183,False,0
118,160,118,False,0
134,106,119,False,0
149,193,183,False,1
118,106,168,False,0
168,114,135,False,0
152,172,133,False,0
166,114,184,False,0
156,176,124,False,0
191,191,167,False,1
103,145,181,False,0
169,194,176,False,1
167,162,150,False,1
127,157,172,True,0
196,183,193,False,1
159,160,153,False,0
152,104,160,False,0
107,152,127,False,0
186,191,155,False,1
183,104,182,False,0
146,181,123,False,0
165,121,136,False,0
183,150,119,True,1
198,171,152,False,1
173,133,149,False,0
127,124,136,True,0
143,185,196,False,1
198,165,104,False,0
184,131,197,False,1
115,188,110,False,0
164,194,189,False,1
137,144,178,False,0
119,109,129,True,0
159,126,135,False,0
173,123,157,False,0
170,144,165,False,1
134,103,151,False,0
142,170,130,False,0
190,162,155,False,1
125,158,198,False,0
161,154,140,False,0
142,190,107,False,0
104,131,134,False,0
136,117,170,False,0
172,116,156,False,0
196,185,183,False,1
193,180,174,False,1
199,113,126,False,0
162,128,132,False,0
166,155,149,True,1
163,192,160,False,1
103,185,172,False,0
180,109,180,False,0
191,152,171,False,1
175,122,180,True,1
167,146,172,False,1
183,117,151,False,0
177,148,104,False,0
175,129,120,False,0
172,199,114,False,1
145,160,153,True,1
129,183,108,False,0
169,105,123,False,0
185,130,171,False,1
114,127,160,False,0
108,118,171,False,0
144,199,192,False,1
180,167,189,False,1
106,176,123,False,0
180,148,103,False,0
139,157,191,False,0
191,114,158,False,0
160,168,174,False,1
169,140,143,False,0
100,137,194,True,0
118,165,119,True,0
154,170,158,False,1
132,136,168,False,0
183,193,132,False,1
161,177,122,False,0
149,168,140,False,0
105,151,111,False,0
140,144,176,False,0
157,160,139,False,0
118,108,129,False,0
157,109,157,False,0
145,111,123,False,0
191,126,108,False,0
136,113,199,False,0
186,177,122,False,1
181,154,147,False,1
158,197,132,False,1
140,178,133,False,0
154,192,101,False,0
198,138,182,False,1
186,168,134,False,1
129,118,128,False,0
199,164,182,False,1
126,127,105,False,0
142,175,158,False,0
165,113,109,False,0
152,164,188,False,1
121,172,114,True,0
121,115,186,False,0
195,157,129,False,1
193,107,197,False,1
162,119,116,False,0
119,191,142,False,0
143,118,156,False,0
152,112,120,False,0
162,131,123,False,0
198,180,132,False,1
132,122,192,False,0
105,127,160,False,0
103,140,115,True,0
103,160,175,False,0
191,192,107,False,1
116,110,184,False,0
109,106,129,True,0
122,108,184,False,0
198,122,168,False,1
181,155,200,False,1
130,153,180,False,0
188,140,184,False,1
123,145,114,False,0
167,172,119,True,1
101,134,145,False,0
119,168,169,False,0
116,123,181,False,0
185,187,131,False,1
139,168,157,False,0
115,108,181,True,0
195,161,180,True,1
168,138,142,False,0
141,111,183,False,0
116,155,124,False,0
146,114,136,False,0
161,179,151,False,1
155,111,130,False,0
153,158,189,False,1
172,167,158,False,1
106,179,195,False,0
107,102,175,False,0
160,108,152,False,0
160,101,119,True,0
154,164,169,False,1
129,161,198,False,0
115,173,125,False,0
167,178,200,True,1
120,179,170,False,0
165,191,125,False,1
176,170,125,False,0
159,140,139,False,0
189,132,178,False,1
164,146,134,False,0
168,145,128,True,1
120,145,198,False,0
192,195,169,True,1
178,176,171,False,1
104,120,101,False,0
153,174,187,False,1
164,122,176,False,0
154,107,124,False,0
171,130,128,False,0
141,149,151,False,0
172,152,175,False,1
151,147,130,False,0
130,147,133,False,0
175,164,114,False,0
141,113,124,False,0
199,189,119,False,1
132,129,183,False,0
134,179,105,False,0
177,161,116,False,0
130,168,181,False,0
160,189,169,False,1
124,141,197,False,0
146,133,194,False,0
185,195,143,False,1
122,190,115,False,0
178,102,113,False,0
200,193,174,False,1
142,144,112,True,0
117,190,111,False,0
135,126,153,True,0
134,143,197,False,0
130,174,115,False,0
118,196,158,False,0
122,178,162,True,0
